Iteration  Absolute error
0          0.7853981633974483
1          0.39269908169872414
2          0.19634954084936207
3          0.09817477042468103
4          0.04908738521234046
5          0.024543692606170286
6          0.012271846303085199
7          0.006135923151542544
8          0.003067961575771272
9          0.0015339807878855805
10          0.0007669903939429012
11          0.0003834951969714506
12          0.0001917475984857253
13          9.587379924280715e-05
14          4.793689962134806e-05
15          2.396844981067403e-05
16          1.1984224905337015e-05
17          5.992112452668508e-06
18          2.996056226334254e-06
19          1.498028113222638e-06
20          7.490140566668302e-07
